time,geo,unit,s_adj,na_item,value
1975Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1975Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1975Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1975Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1976Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1976Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1976Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1976Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1977Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1977Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1977Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1977Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1978Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1978Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1978Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1978Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1979Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1979Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1979Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1979Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1980Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1980Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1980Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1980Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1981Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1981Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1981Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1981Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1982Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1982Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1982Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1982Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1983Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1983Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1983Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1983Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1984Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1984Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1984Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1984Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1985Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1985Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1985Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1985Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1986Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1986Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1986Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1986Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1987Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1987Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1987Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1987Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1988Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1988Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1988Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1988Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1989Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1989Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1989Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1989Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,
1990Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,32134
1990Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,31690
1990Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,31022
1990Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,30837
1991Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,30223
1991Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,29873
1991Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,29262
1991Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,28923
1992Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,29013
1992Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,28692
1992Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,28446
1992Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,28237
1993Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,28307
1993Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,28256
1993Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,28429
1993Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,28638
1994Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,28826
1994Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,29082
1994Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,29735
1994Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,30487
1995Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,30232
1995Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,31048
1995Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,30904
1995Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,30933
1996Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,31480
1996Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,31626
1996Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,31999
1996Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,32526
1997Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,32607
1997Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,33378
1997Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,34284
1997Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,35385
1998Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,35714
1998Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,36145
1998Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,35988
1998Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,35210
1999Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,36783
1999Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,37036
1999Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,37372
1999Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,38128
2000Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,38863
2000Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,39023
2000Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,39650
2000Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,40382
2001Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,40260
2001Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,40403
2001Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,40749
2001Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,40624
2002Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,40886
2002Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,41355
2002Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,41141
2002Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,41420
2003Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,41188
2003Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,41767
2003Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,42411
2003Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,42739
2004Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,42854
2004Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,43511
2004Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,43839
2004Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,44605
2005Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,45039
2005Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,44677
2005Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,44821
2005Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,45129
2006Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,46422
2006Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,46358
2006Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,46744
2006Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,47380
2007Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,48171
2007Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,48993
2007Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,49405
2007Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,50240
2008Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,49783
2008Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,49999
2008Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,49787
2008Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,48780
2009Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,45592
2009Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,45344
2009Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,45890
2009Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,45507
2010Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,45934
2010Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,47187
2010Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,46997
2010Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,48025
2011Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,48268
2011Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,48195
2011Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,48212
2011Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,48261
2012Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,48191
2012Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,47463
2012Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,47360
2012Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,47223
2013Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,46926
2013Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,47125
2013Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,47306
2013Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,47164
2014Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,46909
2014Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,46884
2014Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,47113
2014Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,46928
2015Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,46726
2015Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,47227
2015Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,47310
2015Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,47594
2016Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,47997
2016Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,48397
2016Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,48720
2016Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,48959
2017Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,49677
2017Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,49866
2017Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,50127
2017Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,50747
2018Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,50806
2018Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,50732
2018Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,50859
2018Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,51051
2019Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,51093
2019Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,51513
2019Q3,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,51673
2019Q4,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,51498
2020Q1,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,50521
2020Q2,Finlande,"Volumes chaînés (2010), millions d'euros",Données désaisonnalisées et corrigées des effets de calendrier,Produit intérieur brut aux prix du marché,